time,open,close,high,low,volume
2019-07-28 16:00:00,9500.9,9500.0,9505.3,9488.9,108.74459319
2019-07-28 16:05:00,9499.9,9523.8,9526.5,9499.9,38.35359735
2019-07-28 16:10:00,9518.3,9520.2,9540.2,9516.6,23.590898629999998
2019-07-28 16:15:00,9524.0,9535.8,9542.95300759,9521.4,16.595092
2019-07-28 16:20:00,9535.8,9519.2,9536.7,9519.2,3.31362968
2019-07-28 16:25:00,9522.5,9522.44000141,9531.162292,9522.2,1.59975221
2019-07-28 16:30:00,9525.1,9522.9,9525.1,9522.7,1.11799034
2019-07-28 16:35:00,9523.1,9530.242118,9532.2,9522.8,13.12691888
2019-07-28 16:40:00,9527.0,9517.1,9551.8,9517.1,30.64747794
2019-07-28 16:45:00,9517.0,9514.7,9523.4,9493.4,7.73646236
2019-07-28 16:50:00,9514.7,9514.07935661,9519.09574349,9507.4,0.87943043
2019-07-28 16:55:00,9514.1,9514.1,9514.1,9504.0,1.47773074
2019-07-28 17:00:00,9520.120204,9517.31213926,9525.5,9514.5,3.8224206599999997
2019-07-28 17:05:00,9517.3,9524.0,9527.7,9517.3,2.95247942
2019-07-28 17:10:00,9524.0,9524.5,9534.3,9521.32524877,4.99801437
2019-07-28 17:15:00,9524.5,9524.1,9524.6,9522.0,0.38070687000000003
2019-07-28 17:20:00,9524.5,9530.0,9530.0,9524.5,5.04336391
2019-07-28 17:25:00,9530.0,9527.3,9534.5,9516.5,4.46570303
2019-07-28 17:30:00,9532.91864535,9536.6,9540.6,9531.0,7.1198485
2019-07-28 17:35:00,9539.0,9540.6,9540.6,9535.3,3.75720428
2019-07-28 17:40:00,9540.5,9552.5,9552.8,9540.5,13.96921314
2019-07-28 17:45:00,9551.2,9537.7,9552.8,9535.48257642,6.88681731
2019-07-28 17:50:00,9540.5,9541.0,9543.3,9530.2,2.66707339
2019-07-28 17:55:00,9536.1,9539.3,9542.1,9535.1,0.89522592
2019-07-28 18:00:00,9538.8,9543.4,9548.8,9538.8,5.653196250000001
2019-07-28 18:05:00,9543.3,9546.2,9546.2,9539.5,2.52422743
2019-07-28 18:10:00,9542.5,9559.9,9559.9,9540.3,40.43343408
2019-07-28 18:15:00,9558.3,9566.0,9573.3,9545.89545,70.67697682
2019-07-28 18:20:00,9565.0,9543.6,9565.1,9542.3,45.66108714
2019-07-28 18:25:00,9546.8,9545.9612512,9551.0,9537.9,34.75690356
2019-07-28 18:30:00,9545.9612512,9546.2,9546.3,9537.0,3.78714173
2019-07-28 18:35:00,9546.3,9541.28994835,9546.3,9531.2,1.57557312
2019-07-28 18:40:00,9540.3744,9534.3,9542.2,9528.412125,14.579237899999999
2019-07-28 18:45:00,9534.8,9530.91209061,9537.1,9528.6,1.31717606
2019-07-28 18:50:00,9530.91209061,9550.0,9550.0,9528.21954095,4.27472555
2019-07-28 18:55:00,9550.0,9542.95141908,9553.2,9536.03998362,8.1736784
2019-07-28 19:00:00,9542.95141908,9541.7,9553.25685,9540.4,1.67451936
2019-07-28 19:05:00,9543.0,9538.6,9544.9,9536.1,2.83878546
2019-07-28 19:10:00,9538.7,9538.92366928,9539.0,9538.7,1.03306411
2019-07-28 19:15:00,9538.96643424,9550.1,9550.7,9538.92366928,22.26937139
2019-07-28 19:20:00,9547.93332259,9543.7,9550.9,9528.1,10.87126556
2019-07-28 19:25:00,9547.82203094,9548.3,9548.4,9547.82203094,0.71891658
2019-07-28 19:30:00,9548.3,9545.1,9548.8,9544.1,3.91007856
2019-07-28 19:35:00,9544.0,9540.95970529,9544.1,9540.2,1.45674485
2019-07-28 19:40:00,9541.0,9535.5,9541.0,9534.5,2.07497972
2019-07-28 19:45:00,9537.0,9545.0,9545.0,9529.6,5.5982
2019-07-28 19:50:00,9541.0,9536.17396844,9541.0,9535.7,2.5578932
2019-07-28 19:55:00,9536.2,9539.9,9539.9,9535.72878449,0.93771308
2019-07-28 20:00:00,9539.86798041,9541.1,9541.9,9534.8,2.83076495
